t,q0,q1,q2,q3,b1,b2,b3
1.6400000000,0.9999845601,0.0026584406,0.0041028594,0.0026417336,0.0001612988,-0.0002743135,-0.0005026116
1.6500000000,0.9999890690,0.0015646475,0.0018667653,0.0039911180,0.0002939873,-0.0000029363,-0.0006636374
1.6600000000,0.9999905549,0.0022054266,0.0024919432,0.0027957957,0.0002163483,-0.0000769134,-0.0005173088
1.6700000000,0.9999888779,0.0025800278,0.0030147332,0.0025492922,0.0001726199,-0.0001411167,-0.0004844776
1.6800000000,0.9999879621,0.0029447555,0.0032905853,0.0021391850,0.0001291854,-0.0001747594,-0.0004318812
1.6900000000,0.9999894413,0.0014935979,0.0013093734,0.0041439084,0.0003058288,0.0000637619,-0.0006736815
1.7000000000,0.9999956545,-0.0019282452,-0.0012134779,0.0018709036,0.0007195253,0.0003686811,-0.0003990600
1.7100000000,0.9999940642,-0.0030896275,-0.0015213795,-0.0001057500,0.0008585604,0.0004049315,-0.0001584427
1.7200000000,0.9999935984,-0.0025217590,-0.0002224907,-0.0025287072,0.0007903917,0.0002472590,0.0001357459
1.7300000000,0.9999826775,-0.0047352533,-0.0034629546,-0.0004795897,0.0010579563,0.0006419146,-0.0001099687
1.7400000000,0.9999753092,-0.0058708284,-0.0037733957,0.0008221176,0.0011924127,0.0006801519,-0.0002687498
1.7500000000,0.9999832190,-0.0045660418,-0.0027237147,-0.0023009459,0.0010356077,0.0005515699,0.0001086917
1.7600000000,0.9999853153,-0.0042796329,-0.0022783290,-0.0024213856,0.0010006274,0.0004984972,0.0001228744
1.7700000000,0.9999794922,-0.0051904320,-0.0035778520,-0.0011285672,0.0011073046,0.0006555925,-0.0000321205
1.7800000000,0.9999695659,-0.0063138015,-0.0045591816,0.0004659549,0.0012416839,0.0007759502,-0.0002237133
1.7900000000,0.9999709060,-0.0063588659,-0.0042036469,0.0002851663,0.0012460810,0.0007335784,-0.0002029184
1.8000000000,0.9999829389,-0.0054841850,-0.0001759989,0.0020036832,0.0011372988,0.0002505563,-0.0004101775
1.8100000000,0.9999880886,-0.0041941462,0.0020750868,0.0013877462,0.0009829117,-0.0000199601,-0.0003350589
